bikeid,start_time,end_time,start_lng,start_lat,end_lng,end_lat
286115889,2018-09-02 23:59:27,2018-09-03 00:25:53,103.971912,30.774788,103.966591,30.763816
286599337,2018-09-02 23:59:27,2018-09-03 00:14:26,103.964491,30.764932,103.948094,30.772393
280069375,2018-09-02 23:59:27,2018-09-04 09:09:40,103.959433,30.756371,103.964211,30.762145
286524803,2018-09-02 23:59:27,2018-09-03 00:05:57,103.961835,30.750632,103.960777,30.750683
8640104400,2018-09-02 23:59:27,2018-09-03 00:05:56,103.96924,30.756661,103.964983,30.75243
286709354,2018-09-02 23:59:27,2018-09-03 00:13:08,103.95357,30.757103000000004,103.951177,30.754049
8640131756,2018-09-02 23:59:28,2018-09-03 00:07:51,103.985558,30.75901,103.982263,30.759245
286021449,2018-09-02 23:59:28,2018-09-03 00:06:36,103.906579,30.572627,103.906915,30.571534000000003
286597761,2018-09-02 23:59:29,2018-09-03 00:13:40,103.986171,30.768793,103.97851,30.770963
8621575371,2018-09-02 23:59:30,2018-09-03 00:13:45,103.991156,30.760901,103.988131,30.759512
286668404,2018-09-02 23:59:30,2018-09-03 00:06:31,103.998153,30.700038,103.99784,30.698632
8640268368,2018-09-02 23:59:31,2018-09-03 00:32:22,103.998525,30.680998,103.994465,30.678326
8640246970,2018-09-02 23:59:33,2018-09-03 00:14:26,103.952063,30.78877,103.951303,30.786049
286642377,2018-09-02 23:59:33,2018-09-03 00:14:27,103.956073,30.792403000000004,103.961396,30.789315
286669827,2018-09-02 23:59:33,2018-09-03 00:19:48,103.95282,30.798649,103.949545,30.788773
280135761,2018-09-02 23:59:33,2018-09-03 09:57:28,103.989107,30.550490000000003,103.971544,30.573596
8620086347,2018-09-02 23:59:34,2018-09-03 00:14:32,103.992449,30.608089,103.988241,30.612608
280044000,2018-09-02 23:59:34,2018-09-03 00:05:52,103.943426,30.775542,103.940226,30.775405
286707709,2018-09-02 23:59:34,2018-09-03 00:13:32,103.992298,30.606998,103.99236,30.600058
286633332,2018-09-02 23:59:34,2018-09-03 00:14:26,103.944719,30.780467,103.946001,30.775058
8621575103,2018-09-02 23:59:34,2018-09-03 00:19:48,103.943647,30.779189,103.928267,30.778482
286500198,2018-09-02 23:59:34,2018-09-03 00:06:26,103.992728,30.610036,103.991584,30.609296
8640014401,2018-09-02 23:59:35,2018-09-03 00:06:05,103.970264,30.732906,103.972888,30.731329
286028707,2018-09-02 23:59:35,2018-09-03 00:20:10,103.991759,30.612349,103.997696,30.610093
280135861,2018-09-02 23:59:35,2018-09-03 02:16:25,103.975935,30.72629,103.974811,30.734721
8640253462,2018-09-02 23:59:35,2018-09-03 00:06:16,103.984178,30.73382,103.984479,30.735751
286520599,2018-09-02 23:59:37,2018-09-03 00:13:37,104.005433,30.680477000000003,103.994782,30.685215000000003
8609760502,2018-09-02 23:59:37,2018-09-03 00:06:38,104.00987,30.680188,104.01004,30.679006
8640241782,2018-09-02 23:59:38,2018-09-03 00:13:35,104.004532,30.667798,104.006799,30.671573
286686554,2018-09-02 23:59:38,2018-09-03 00:13:42,104.008008,30.659836,104.006335,30.65584
8640183172,2018-09-02 23:59:40,2018-09-03 00:20:06,104.003237,30.709852,104.000539,30.696577
8640045780,2018-09-02 23:59:40,2018-09-03 00:14:04,104.007569,30.713254,104.023144,30.713381
8640281205,2018-09-02 23:59:41,2018-09-03 00:20:47,104.010001,30.692523,104.032976,30.681382
8640165688,2018-09-02 23:59:43,2018-09-03 00:13:14,103.981288,30.666104,103.975995,30.662652
7316518623,2018-09-02 23:59:43,2018-09-03 00:13:47,104.006268,30.674682,104.015477,30.676226
236502894,2018-09-02 23:59:43,2018-09-03 00:14:17,104.00685,30.671606,104.020254,30.680455
286686561,2018-09-02 23:59:43,2018-09-03 00:06:37,104.005696,30.678471,104.003177,30.676764
8640049303,2018-09-02 23:59:43,2018-09-03 00:06:38,104.011753,30.673975,104.007704,30.675083
8621487072,2018-09-02 23:59:43,2018-09-03 00:06:49,104.011319,30.674954,104.014504,30.673848
280068815,2018-09-02 23:59:43,2018-09-03 00:13:08,103.962262,30.668302,103.965974,30.666171
